timestamp,energy_generation,hour,day_of_week,day_of_year,month,quarter,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,energy_generation_lag_1,energy_generation_lag_2,energy_generation_lag_3,energy_generation_lag_6,energy_generation_lag_12,energy_generation_lag_24,energy_generation_lag_48,energy_generation_lag_168,energy_generation_rolling_mean_24,energy_generation_rolling_std_24,energy_generation_rolling_mean_168,energy_generation_rolling_std_168
2025-01-09 17:00:00,5589.68,17,3,9,1,1,0,-0.9659258262890683,-0.25881904510252063,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5795.23,5539.65,5354.64,5474.98,4684.55,5666.74,6146.0,5460.07,5030.01625,566.1662083493012,5033.518095238095,596.6413154829798
2025-01-09 18:00:00,5277.57,18,3,9,1,1,0,-1.0,-1.8369701987210297e-16,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5589.68,5795.23,5539.65,5517.11,5243.02,5326.81,5985.08,5293.16,5027.964583333333,565.132202347599,5033.425297619047,596.6019017756367
2025-01-09 19:00:00,5032.32,19,3,9,1,1,0,-0.9659258262890684,0.2588190451025203,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5277.57,5589.68,5795.23,5422.47,5485.68,5045.65,5366.12,4965.06,5027.409166666666,565.1206155589301,5033.825654761905,596.5783170401379
2025-01-09 20:00:00,4817.24,20,3,9,1,1,0,-0.8660254037844386,0.5000000000000001,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5032.32,5277.57,5589.68,5354.64,5526.27,4866.38,5347.84,4756.82,5025.361666666667,565.817999811016,5034.185297619048,596.4285193403699
2025-01-09 21:00:00,4596.47,21,3,9,1,1,0,-0.7071067811865477,0.7071067811865474,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,4817.24,5032.32,5277.57,5539.65,5561.1,4625.72,5151.17,4565.85,5024.142916666667,566.7469781471651,5034.367559523809,596.289206596589
2025-01-09 22:00:00,4454.57,22,3,9,1,1,0,-0.5000000000000004,0.8660254037844384,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,4596.47,4817.24,5032.32,5795.23,5580.67,4549.27,4915.57,4464.22,5020.1970833333335,570.5140514405558,5034.310119047619,596.3449199154531
2025-01-09 23:00:00,4518.24,23,3,9,1,1,0,-0.25881904510252157,0.9659258262890681,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,4454.57,4596.47,4817.24,5589.68,5474.98,4569.23,5211.0,4340.16,5018.0725,572.3584228682713,5035.370119047619,595.2609663760963
2025-01-10 00:00:00,4597.8,0,4,10,1,1,0,0.0,1.0,0.17117705961019986,0.985240282501282,0.49999999999999994,0.8660254037844387,4518.24,4454.57,4596.47,5277.57,5517.11,4406.79,5154.32,4405.72,5026.03125,564.7665256685765,5036.513452380952,594.2279091916346
2025-01-10 01:00:00,4586.53,1,4,10,1,1,0,0.25881904510252074,0.9659258262890683,0.17117705961019986,0.985240282501282,0.49999999999999994,0.8660254037844387,4597.8,4518.24,4454.57,5032.32,5422.47,4264.97,4926.98,4429.75,5039.4295833333335,549.5352586027932,5037.446666666667,593.3918228566467
2025-01-10 02:00:00,4441.25,2,4,10,1,1,0,0.49999999999999994,0.8660254037844387,0.17117705961019986,0.985240282501282,0.49999999999999994,0.8660254037844387,4586.53,4597.8,4518.24,4817.24,5354.64,4128.53,4703.31,4478.07,5052.459583333333,530.3712002680063,5037.2275,593.6064241674568
2025-01-10 03:00:00,4345.84,3,4,10,1,1,0,0.7071067811865475,0.7071067811865476,0.17117705961019986,0.985240282501282,0.49999999999999994,0.8660254037844387,4441.25,4586.53,4597.8,4596.47,5539.65,4027.12,4560.21,4465.68,5065.739583333333,507.05931410590574,5036.514166666667,594.3688779936626
