timestamp,energy_generation,dc_power,daily_yield,hour,day_of_week,day_of_year,month,quarter,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,energy_generation_lag_1,energy_generation_lag_2,energy_generation_lag_3,energy_generation_lag_6,energy_generation_lag_12,energy_generation_lag_24,energy_generation_lag_48,energy_generation_lag_168,energy_generation_rolling_mean_24,energy_generation_rolling_std_24,energy_generation_rolling_mean_168,energy_generation_rolling_std_168
2020-05-24 10:15:00,18202.8107142,186227.107147,1856.0795454545455,10,6,145,5,2,1,0.49999999999999994,-0.8660254037844387,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,15625.2982143,13575.3571429,17605.9589287,11194.048214299999,5254.5017856,0.0,0.0,23295.4232143,7239.9075892755,6771.408227181876,6114.882326366393,8578.465252932761
2020-05-24 10:30:00,20087.175,205638.517861,2079.3319804545454,10,6,145,5,2,1,0.49999999999999994,-0.8660254037844387,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,18202.8107142,15625.2982143,13575.3571429,16240.244643,6935.7446427,0.0,0.0,22519.9910695,8076.8732142755,7072.355977796263,6100.401278333656,8552.62090933956
2020-05-24 10:45:00,25115.519643300002,257417.196416,2334.685876636364,10,6,145,5,2,1,0.49999999999999994,-0.8660254037844387,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,20087.175,18202.8107142,15625.2982143,14791.325,8648.3732143,0.0,0.0,20633.3196428,9123.353199413,7659.083102560132,6127.081040241394,8605.057906943211
2020-05-24 11:00:00,23046.9214279,236075.232134,2621.7654220454547,11,6,145,5,2,1,0.258819045102521,-0.9659258262890682,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,25115.519643300002,20087.175,18202.8107142,17605.9589287,10366.8571427,0.0,0.0,13937.4660715,10083.641592242167,7906.283216334813,6181.303988791393,8682.91651485094
2020-05-24 11:15:00,23987.6464296,245811.23214,2872.1623376363636,11,6,145,5,2,1,0.258819045102521,-0.9659258262890682,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,23046.9214279,25115.519643300002,20087.175,13575.3571429,11275.0142856,0.0,0.0,9225.4125001,11083.126860142167,8090.1992568763435,6269.17442884794,8787.967964403764
2020-05-24 11:30:00,24898.628571,255182.66071,3163.235389590909,11,6,145,5,2,1,0.258819045102521,-0.9659258262890682,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,23987.6464296,23046.9214279,25115.519643300002,15625.2982143,15020.8178572,0.0,0.0,9826.4553573,12120.569717267166,8202.814825806037,6358.889745596154,8900.713059903917
2020-05-24 11:45:00,24897.8267864,255212.87501,3457.984577954546,11,6,145,5,2,1,0.258819045102521,-0.9659258262890682,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,24898.628571,23987.6464296,23046.9214279,18202.8107142,11194.048214299999,0.0,0.0,6892.1410714,13157.9791667005,8177.654552896388,6466.066446280679,9014.84728962231
2020-05-24 12:00:00,25558.042857,261993.64287,3728.6331169090913,12,6,145,5,2,1,1.2246467991473532e-16,-1.0,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,24897.8267864,24898.628571,23987.6464296,20087.175,16240.244643,229.539285712,0.0,5992.0285715,14213.333482170834,8070.313979960746,6582.530817027703,9134.28360472193
2020-05-24 12:15:00,26957.596427,276448.26787,4031.786525954545,12,6,145,5,2,1,1.2246467991473532e-16,-1.0,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,25558.042857,24897.8267864,24898.628571,25115.519643300002,14791.325,851.26071429,0.0,4807.9375001,15301.097470200417,7949.468058259303,6714.374024925917,9267.398820281074
2020-05-24 12:30:00,24999.141072,256224.94643,4326.384740272727,12,6,145,5,2,1,1.2246467991473532e-16,-1.0,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,26957.596427,25558.042857,24897.8267864,23046.9214279,17605.9589287,1586.57500001,0.0,4161.1910715,16276.621056533333,7623.155195537609,6838.409441595561,9371.881446433837
